"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Create file","LMS service","Tue Aug 19 21:09:40 UTC 2025","passed","Tue Aug 19 21:09:40 UTC 2025","Create entity","Files","",""
"","48","Create file with empty filename","LMS service","Tue Aug 19 21:09:41 UTC 2025","passed","Tue Aug 19 21:09:41 UTC 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue Aug 19 21:09:45 UTC 2025","passed","Tue Aug 19 21:09:45 UTC 2025","Get entity","Users","",""
"","554","Create user","LMS service","Tue Aug 19 21:09:44 UTC 2025","passed","Tue Aug 19 21:09:44 UTC 2025","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","Tue Aug 19 21:09:35 UTC 2025","passed","Tue Aug 19 21:09:35 UTC 2025","Login","Authentication","",""
"","304","Get courses","LMS service","Tue Aug 19 21:09:36 UTC 2025","passed","Tue Aug 19 21:09:37 UTC 2025","Get entities","Courses","",""
"","520","Create user","LMS service","Tue Aug 19 21:09:43 UTC 2025","passed","Tue Aug 19 21:09:44 UTC 2025","Create entity","Users","",""
"","263","Create file with empty directory","LMS service","Tue Aug 19 21:09:42 UTC 2025","passed","Tue Aug 19 21:09:43 UTC 2025","Validate entity","Files","",""
"","21","Create exercise","LMS service","Tue Aug 19 21:09:38 UTC 2025","passed","Tue Aug 19 21:09:38 UTC 2025","Create entity","Exercises","",""
"","18","Delete exercise","LMS service","Tue Aug 19 21:09:39 UTC 2025","passed","Tue Aug 19 21:09:39 UTC 2025","Delete entity","Exercises","",""
"","21","Get exercise","LMS service","Tue Aug 19 21:09:39 UTC 2025","passed","Tue Aug 19 21:09:39 UTC 2025","Get entity","Exercises","",""
"","12","Get file","LMS service","Tue Aug 19 21:09:41 UTC 2025","passed","Tue Aug 19 21:09:42 UTC 2025","Get entity","Files","",""
"","23","Get exercises","LMS service","Tue Aug 19 21:09:40 UTC 2025","passed","Tue Aug 19 21:09:40 UTC 2025","Get entities","Exercises","",""
"","300","Delete file","LMS service","Tue Aug 19 21:09:43 UTC 2025","passed","Tue Aug 19 21:09:43 UTC 2025","Delete entity","Files","",""
"","288","Create user","LMS service","Tue Aug 19 21:09:44 UTC 2025","passed","Tue Aug 19 21:09:44 UTC 2025","Create entity","Users","",""
"","18","Update exercise","LMS service","Tue Aug 19 21:09:38 UTC 2025","passed","Tue Aug 19 21:09:38 UTC 2025","Update entity","Exercises","",""
"","29","Create course","LMS service","Tue Aug 19 21:09:37 UTC 2025","passed","Tue Aug 19 21:09:37 UTC 2025","Create entity","Courses","",""
"","306","Update course","LMS service","Tue Aug 19 21:09:35 UTC 2025","passed","Tue Aug 19 21:09:36 UTC 2025","Update entity","Courses","",""
"","264","Get file with incorrect id","LMS service","Tue Aug 19 21:09:43 UTC 2025","passed","Tue Aug 19 21:09:44 UTC 2025","Validate entity","Files","",""
