"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","Create user","LMS service","Sat Nov 22 19:11:02 UTC 2025","passed","Sat Nov 22 19:11:02 UTC 2025","Create entity","Users","",""
"","296","Delete file","LMS service","Sat Nov 22 19:11:01 UTC 2025","passed","Sat Nov 22 19:11:01 UTC 2025","Delete entity","Files","",""
"","542","Create user","LMS service","Sat Nov 22 19:11:01 UTC 2025","passed","Sat Nov 22 19:11:02 UTC 2025","Create entity","Users","",""
"","45","Create file","LMS service","Sat Nov 22 19:10:58 UTC 2025","passed","Sat Nov 22 19:10:58 UTC 2025","Create entity","Files","",""
"","561","Create user","LMS service","Sat Nov 22 19:11:02 UTC 2025","passed","Sat Nov 22 19:11:02 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Sat Nov 22 19:11:03 UTC 2025","passed","Sat Nov 22 19:11:03 UTC 2025","Get entity","Users","",""
"","290","Create exercise","LMS service","Sat Nov 22 19:10:56 UTC 2025","passed","Sat Nov 22 19:10:56 UTC 2025","Create entity","Exercises","",""
"","266","Create file with empty directory","LMS service","Sat Nov 22 19:11:00 UTC 2025","passed","Sat Nov 22 19:11:01 UTC 2025","Validate entity","Files","",""
"","20","Update exercise","LMS service","Sat Nov 22 19:10:56 UTC 2025","passed","Sat Nov 22 19:10:56 UTC 2025","Update entity","Exercises","",""
"","18","Delete exercise","LMS service","Sat Nov 22 19:10:57 UTC 2025","passed","Sat Nov 22 19:10:58 UTC 2025","Delete entity","Exercises","",""
"","263","Get file with incorrect id","LMS service","Sat Nov 22 19:11:01 UTC 2025","passed","Sat Nov 22 19:11:02 UTC 2025","Validate entity","Files","",""
"","43","Create file with empty filename","LMS service","Sat Nov 22 19:11:00 UTC 2025","passed","Sat Nov 22 19:11:00 UTC 2025","Validate entity","Files","",""
"","285","Login with correct email and password","LMS service","Sat Nov 22 19:10:53 UTC 2025","passed","Sat Nov 22 19:10:53 UTC 2025","Login","Authentication","",""
"","287","Get exercise","LMS service","Sat Nov 22 19:10:57 UTC 2025","passed","Sat Nov 22 19:10:57 UTC 2025","Get entity","Exercises","",""
"","13","Get file","LMS service","Sat Nov 22 19:11:00 UTC 2025","passed","Sat Nov 22 19:11:00 UTC 2025","Get entity","Files","",""
"","35","Update course","LMS service","Sat Nov 22 19:10:54 UTC 2025","passed","Sat Nov 22 19:10:54 UTC 2025","Update entity","Courses","",""
"","286","Get exercises","LMS service","Sat Nov 22 19:10:58 UTC 2025","passed","Sat Nov 22 19:10:58 UTC 2025","Get entities","Exercises","",""
"","296","Get courses","LMS service","Sat Nov 22 19:10:54 UTC 2025","passed","Sat Nov 22 19:10:54 UTC 2025","Get entities","Courses","",""
"","28","Create course","LMS service","Sat Nov 22 19:10:55 UTC 2025","passed","Sat Nov 22 19:10:55 UTC 2025","Create entity","Courses","",""
