"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","520","Create user","LMS service","Sun Aug 24 15:55:32 UTC 2025","passed","Sun Aug 24 15:55:32 UTC 2025","Create entity","Users","",""
"","21","Delete file","LMS service","Sun Aug 24 15:55:32 UTC 2025","passed","Sun Aug 24 15:55:32 UTC 2025","Delete entity","Files","",""
"","45","Create file","LMS service","Sun Aug 24 15:55:29 UTC 2025","passed","Sun Aug 24 15:55:29 UTC 2025","Create entity","Files","",""
"","511","Create user","LMS service","Sun Aug 24 15:55:32 UTC 2025","passed","Sun Aug 24 15:55:33 UTC 2025","Create entity","Users","",""
"","41","Create file with empty filename","LMS service","Sun Aug 24 15:55:31 UTC 2025","passed","Sun Aug 24 15:55:31 UTC 2025","Validate entity","Files","",""
"","257","Get file with incorrect id","LMS service","Sun Aug 24 15:55:33 UTC 2025","passed","Sun Aug 24 15:55:33 UTC 2025","Validate entity","Files","",""
"","265","Create file with empty directory","LMS service","Sun Aug 24 15:55:31 UTC 2025","passed","Sun Aug 24 15:55:32 UTC 2025","Validate entity","Files","",""
"","302","Get courses","LMS service","Sun Aug 24 15:55:25 UTC 2025","passed","Sun Aug 24 15:55:26 UTC 2025","Get entities","Courses","",""
"","24","Get exercises","LMS service","Sun Aug 24 15:55:29 UTC 2025","passed","Sun Aug 24 15:55:29 UTC 2025","Get entities","Exercises","",""
"","19","Get exercise","LMS service","Sun Aug 24 15:55:28 UTC 2025","passed","Sun Aug 24 15:55:28 UTC 2025","Get entity","Exercises","",""
"","18","Update exercise","LMS service","Sun Aug 24 15:55:27 UTC 2025","passed","Sun Aug 24 15:55:27 UTC 2025","Update entity","Exercises","",""
"","556","Create user","LMS service","Sun Aug 24 15:55:33 UTC 2025","passed","Sun Aug 24 15:55:33 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Sun Aug 24 15:55:34 UTC 2025","passed","Sun Aug 24 15:55:34 UTC 2025","Get entity","Users","",""
"","555","Login with correct email and password","LMS service","Sun Aug 24 15:55:24 UTC 2025","passed","Sun Aug 24 15:55:24 UTC 2025","Login","Authentication","",""
"","13","Get file","LMS service","Sun Aug 24 15:55:31 UTC 2025","passed","Sun Aug 24 15:55:31 UTC 2025","Get entity","Files","",""
"","306","Update course","LMS service","Sun Aug 24 15:55:24 UTC 2025","passed","Sun Aug 24 15:55:25 UTC 2025","Update entity","Courses","",""
"","19","Delete exercise","LMS service","Sun Aug 24 15:55:28 UTC 2025","passed","Sun Aug 24 15:55:28 UTC 2025","Delete entity","Exercises","",""
"","21","Create exercise","LMS service","Sun Aug 24 15:55:27 UTC 2025","passed","Sun Aug 24 15:55:27 UTC 2025","Create entity","Exercises","",""
"","30","Create course","LMS service","Sun Aug 24 15:55:26 UTC 2025","passed","Sun Aug 24 15:55:26 UTC 2025","Create entity","Courses","",""
