"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create exercise","LMS service","Sun Aug 24 15:07:09 UTC 2025","passed","Sun Aug 24 15:07:09 UTC 2025","Create entity","Exercises","",""
"","269","Create file with empty filename","LMS service","Sun Aug 24 15:07:13 UTC 2025","passed","Sun Aug 24 15:07:14 UTC 2025","Validate entity","Files","",""
"","12","Get file","LMS service","Sun Aug 24 15:07:12 UTC 2025","passed","Sun Aug 24 15:07:12 UTC 2025","Get entity","Files","",""
"","26","Create course","LMS service","Sun Aug 24 15:07:08 UTC 2025","passed","Sun Aug 24 15:07:08 UTC 2025","Create entity","Courses","",""
"","545","Create user","LMS service","Sun Aug 24 15:07:15 UTC 2025","passed","Sun Aug 24 15:07:15 UTC 2025","Create entity","Users","",""
"","304","Update course","LMS service","Sun Aug 24 15:07:07 UTC 2025","passed","Sun Aug 24 15:07:07 UTC 2025","Update entity","Courses","",""
"","283","Login with correct email and password","LMS service","Sun Aug 24 15:07:06 UTC 2025","passed","Sun Aug 24 15:07:07 UTC 2025","Login","Authentication","",""
"","24","Delete exercise","LMS service","Sun Aug 24 15:07:11 UTC 2025","passed","Sun Aug 24 15:07:11 UTC 2025","Delete entity","Exercises","",""
"","14","Get file with incorrect id","LMS service","Sun Aug 24 15:07:15 UTC 2025","passed","Sun Aug 24 15:07:15 UTC 2025","Validate entity","Files","",""
"","265","Create file","LMS service","Sun Aug 24 15:07:12 UTC 2025","passed","Sun Aug 24 15:07:12 UTC 2025","Create entity","Files","",""
"","12","Get user me","LMS service","Sun Aug 24 15:07:16 UTC 2025","passed","Sun Aug 24 15:07:16 UTC 2025","Get entity","Users","",""
"","42","Create file with empty directory","LMS service","Sun Aug 24 15:07:14 UTC 2025","passed","Sun Aug 24 15:07:14 UTC 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Sun Aug 24 15:07:15 UTC 2025","passed","Sun Aug 24 15:07:15 UTC 2025","Delete entity","Files","",""
"","288","Create user","LMS service","Sun Aug 24 15:07:15 UTC 2025","passed","Sun Aug 24 15:07:15 UTC 2025","Create entity","Users","",""
"","23","Get exercise","LMS service","Sun Aug 24 15:07:10 UTC 2025","passed","Sun Aug 24 15:07:10 UTC 2025","Get entity","Exercises","",""
"","528","Create user","LMS service","Sun Aug 24 15:07:15 UTC 2025","passed","Sun Aug 24 15:07:16 UTC 2025","Create entity","Users","",""
"","16","Get exercises","LMS service","Sun Aug 24 15:07:11 UTC 2025","passed","Sun Aug 24 15:07:11 UTC 2025","Get entities","Exercises","",""
"","21","Update exercise","LMS service","Sun Aug 24 15:07:10 UTC 2025","passed","Sun Aug 24 15:07:10 UTC 2025","Update entity","Exercises","",""
"","303","Get courses","LMS service","Sun Aug 24 15:07:08 UTC 2025","passed","Sun Aug 24 15:07:08 UTC 2025","Get entities","Courses","",""
