"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","Get exercises","LMS service","Tue Aug 19 20:23:56 UTC 2025","passed","Tue Aug 19 20:23:56 UTC 2025","Get entities","Exercises","",""
"","260","Create file with empty directory","LMS service","Tue Aug 19 20:23:58 UTC 2025","passed","Tue Aug 19 20:23:58 UTC 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Tue Aug 19 20:24:00 UTC 2025","passed","Tue Aug 19 20:24:00 UTC 2025","Get entity","Users","",""
"","21","Get exercise","LMS service","Tue Aug 19 20:23:55 UTC 2025","passed","Tue Aug 19 20:23:55 UTC 2025","Get entity","Exercises","",""
"","287","Update course","LMS service","Tue Aug 19 20:23:51 UTC 2025","passed","Tue Aug 19 20:23:51 UTC 2025","Update entity","Courses","",""
"","495","Create user","LMS service","Tue Aug 19 20:23:59 UTC 2025","passed","Tue Aug 19 20:23:59 UTC 2025","Create entity","Users","",""
"","528","Login with correct email and password","LMS service","Tue Aug 19 20:23:51 UTC 2025","passed","Tue Aug 19 20:23:51 UTC 2025","Login","Authentication","",""
"","255","Get file with incorrect id","LMS service","Tue Aug 19 20:23:59 UTC 2025","passed","Tue Aug 19 20:23:59 UTC 2025","Validate entity","Files","",""
"","39","Create file","LMS service","Tue Aug 19 20:23:56 UTC 2025","passed","Tue Aug 19 20:23:56 UTC 2025","Create entity","Files","",""
"","14","Get file","LMS service","Tue Aug 19 20:23:57 UTC 2025","passed","Tue Aug 19 20:23:57 UTC 2025","Get entity","Files","",""
"","26","Get courses","LMS service","Tue Aug 19 20:23:52 UTC 2025","passed","Tue Aug 19 20:23:52 UTC 2025","Get entities","Courses","",""
"","40","Create file with empty filename","LMS service","Tue Aug 19 20:23:57 UTC 2025","passed","Tue Aug 19 20:23:57 UTC 2025","Validate entity","Files","",""
"","484","Create user","LMS service","Tue Aug 19 20:23:58 UTC 2025","passed","Tue Aug 19 20:23:59 UTC 2025","Create entity","Users","",""
"","27","Create course","LMS service","Tue Aug 19 20:23:53 UTC 2025","passed","Tue Aug 19 20:23:53 UTC 2025","Create entity","Courses","",""
"","18","Delete file","LMS service","Tue Aug 19 20:23:58 UTC 2025","passed","Tue Aug 19 20:23:58 UTC 2025","Delete entity","Files","",""
"","546","Create user","LMS service","Tue Aug 19 20:23:59 UTC 2025","passed","Tue Aug 19 20:24:00 UTC 2025","Create entity","Users","",""
"","16","Delete exercise","LMS service","Tue Aug 19 20:23:55 UTC 2025","passed","Tue Aug 19 20:23:55 UTC 2025","Delete entity","Exercises","",""
"","280","Create exercise","LMS service","Tue Aug 19 20:23:53 UTC 2025","passed","Tue Aug 19 20:23:53 UTC 2025","Create entity","Exercises","",""
"","19","Update exercise","LMS service","Tue Aug 19 20:23:54 UTC 2025","passed","Tue Aug 19 20:23:54 UTC 2025","Update entity","Exercises","",""
