"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","Get file with incorrect id","LMS service","Fri Feb 06 13:49:05 UTC 2026","passed","Fri Feb 06 13:49:06 UTC 2026","Validate entity","Files","",""
"","578","Create user","LMS service","Fri Feb 06 13:49:05 UTC 2026","passed","Fri Feb 06 13:49:06 UTC 2026","Create entity","Users","",""
"","18","Get exercise","LMS service","Fri Feb 06 13:49:00 UTC 2026","passed","Fri Feb 06 13:49:00 UTC 2026","Get entity","Exercises","",""
"","626","Create user","LMS service","Fri Feb 06 13:49:06 UTC 2026","passed","Fri Feb 06 13:49:06 UTC 2026","Create entity","Users","",""
"","30","Create course","LMS service","Fri Feb 06 13:48:58 UTC 2026","passed","Fri Feb 06 13:48:58 UTC 2026","Create entity","Courses","",""
"","331","Update course","LMS service","Fri Feb 06 13:48:56 UTC 2026","passed","Fri Feb 06 13:48:57 UTC 2026","Update entity","Courses","",""
"","43","Create file with empty directory","LMS service","Fri Feb 06 13:49:04 UTC 2026","passed","Fri Feb 06 13:49:05 UTC 2026","Validate entity","Files","",""
"","47","Create file","LMS service","Fri Feb 06 13:49:02 UTC 2026","passed","Fri Feb 06 13:49:02 UTC 2026","Create entity","Files","",""
"","19","Update exercise","LMS service","Fri Feb 06 13:48:59 UTC 2026","passed","Fri Feb 06 13:48:59 UTC 2026","Update entity","Exercises","",""
"","610","Create user","LMS service","Fri Feb 06 13:49:05 UTC 2026","passed","Fri Feb 06 13:49:05 UTC 2026","Create entity","Users","",""
"","19","Get exercises","LMS service","Fri Feb 06 13:49:02 UTC 2026","passed","Fri Feb 06 13:49:02 UTC 2026","Get entities","Exercises","",""
"","328","Get courses","LMS service","Fri Feb 06 13:48:57 UTC 2026","passed","Fri Feb 06 13:48:58 UTC 2026","Get entities","Courses","",""
"","11","Get file","LMS service","Fri Feb 06 13:49:03 UTC 2026","passed","Fri Feb 06 13:49:03 UTC 2026","Get entity","Files","",""
"","48","Create file with empty filename","LMS service","Fri Feb 06 13:49:03 UTC 2026","passed","Fri Feb 06 13:49:03 UTC 2026","Validate entity","Files","",""
"","632","Login with correct email and password","LMS service","Fri Feb 06 13:48:56 UTC 2026","passed","Fri Feb 06 13:48:56 UTC 2026","Login","Authentication","",""
"","20","Create exercise","LMS service","Fri Feb 06 13:48:59 UTC 2026","passed","Fri Feb 06 13:48:59 UTC 2026","Create entity","Exercises","",""
"","19","Delete file","LMS service","Fri Feb 06 13:49:04 UTC 2026","passed","Fri Feb 06 13:49:04 UTC 2026","Delete entity","Files","",""
"","17","Delete exercise","LMS service","Fri Feb 06 13:49:00 UTC 2026","passed","Fri Feb 06 13:49:00 UTC 2026","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Fri Feb 06 13:49:07 UTC 2026","passed","Fri Feb 06 13:49:07 UTC 2026","Get entity","Users","",""
